"","num_doss","cluster_tt"
"607","G0716","1"
"608","G0717","1"
"609","G0718","1"
"610","G0719","2"
"611","G0721","1"
"612","G0722","2"
"613","G0723","1"
"614","G0724","1"
"615","G0725","2"
"616","G0726","1"
"617","G0727","2"
"618","G0728","1"
"619","G0731","1"
"620","G0732","2"
"621","G0733","2"
"622","G0734","2"
"623","G0735","2"
"624","G0736","2"
"625","G0737","1"
"626","G0738","2"
"627","G0739","2"
"628","G0740","2"
"629","G0742","2"
"630","G0743","2"
"631","G0744","1"
"632","G0745","1"
"633","G0747","1"
"634","G0748","1"
"635","G0749","2"
"636","G0750","2"
"637","G0751","2"
"638","G0752","1"
"639","G0753","2"
"640","G0754","1"
"641","G0755","2"
"642","G0756","2"
"643","G0758","1"
"644","G0759","2"
"645","G0760","2"
"646","G0761","1"
"647","G0762","1"
"648","G0763","1"
"649","G0765","2"
"650","G0766","1"
"651","G0767","2"
"652","G0768","1"
"653","G0769","2"
"654","G0770","1"
"655","G0771","2"
"656","G0772","1"
"657","G0773","1"
"658","G0774","1"
"659","G0775","2"
"660","G0776","2"
"661","G0777","2"
"662","G0778","2"
"663","G0779","1"
"664","G0780","1"
"665","G0781","1"
"666","G0783","2"
"667","G0785","2"
"668","G0786","1"
"669","G0787","1"
"670","G0788","1"
"671","G0789","1"
"672","G0791","2"
"673","G0793","2"
"674","G0794","2"
"675","G0796","1"
"676","G0797","2"
"677","G0799","1"
"678","G0801","2"
"679","G0802","2"
"680","G0804","1"
"681","G0805","2"
"682","G0806","1"
"683","G0808","1"
"684","G0809","2"
"685","G0810","1"
"686","G0811","2"
"687","G0812","2"
"688","G0813","2"
"689","G0814","2"
"690","G0815","2"
"691","G0816","2"
"692","G0817","2"
"693","G0818","2"
"694","G0819","2"
"695","G0820","2"
"696","G0822","1"
"697","G0824","1"
"698","G0825","2"
"699","G0826","1"
"700","G0827","2"
"701","G0828","2"
"702","G0829","1"
"703","G0830","1"
"704","G0831","2"
"705","G0832","1"
"706","G0833","1"
"707","G0834","2"
"708","G0835","2"
"709","G0837","2"
"710","G0838","2"
"711","G0839","1"
"712","G0840","2"
"713","G0841","2"
"714","G0842","2"
"715","G0843","2"
"716","G0844","2"
"717","G0845","1"
"718","G0846","1"
"719","G0847","2"
"720","G0848","2"
"721","G0849","1"
"722","G0850","1"
"723","G0851","2"
"724","G0852","1"
"725","G0853","1"
"726","G0854","2"
"727","G0855","1"
"728","G0856","2"
"729","G0857","2"
"730","G0858","1"
"731","G0859","2"
"732","G0860","1"
"733","G0861","1"
"734","G0862","1"
"735","G0863","1"
"736","G0864","1"
"737","G0865","1"
"738","G0867","2"
"739","G0868","2"
"740","G0869","2"
"741","G0870","2"
"742","G0871","2"
"743","G0872","1"
"744","G0873","1"
"745","G0874","2"
"746","G0875","2"
"747","G0876","2"
"748","G0877","2"
"749","G0878","2"
"750","G0879","1"
"751","G0880","2"
"752","G0881","1"
"753","G0882","1"
"754","G0883","2"
"755","G0884","1"
"756","G0885","2"
"757","G0886","1"
"758","G0888","2"
"759","G0893","2"
"760","G0894","1"
"761","G0895","2"
"762","G0896","1"
"763","G0897","1"
"764","G0898","1"
"765","G0899","2"
"766","G0900","2"
"767","G0901","1"
"768","G0902","2"
"769","G0903","2"
"770","G0904","2"
"771","G0905","1"
"772","G0906","1"
"773","G0907","1"
"774","G0908","1"
"775","G0909","2"
"776","G0910","1"
"777","G0911","2"
"778","G0912","2"
"779","G0913","2"
"780","G0914","1"
"781","G0916","1"
"782","G0917","2"
"783","G0918","2"
"784","G0919","1"
"785","G0920","2"
"786","G0921","1"
"787","G0922","1"
"788","G0923","1"
"789","G0924","2"
"790","G0925","1"
"791","G0926","1"
"792","G0927","2"
"793","G0928","2"
"794","G0929","1"
"795","G0930","1"
"796","G0932","1"
"797","G0933","2"
"798","G0935","2"
"799","G0936","1"
"800","G0937","2"
"801","G0938","1"
"802","G0939","1"
"803","G0940","2"
"804","G0941","2"
"805","G0942","1"
"806","G0943","1"
"807","G0944","1"
"808","G0945","1"
"809","G0946","2"
"810","G0947","2"
"811","G0948","2"
"812","G0950","1"
"813","G0951","2"
"814","G0952","2"
"815","G0953","1"
"816","G0954","2"
"817","G0955","2"
"818","G0956","1"
"819","G0957","1"
"820","G0958","2"
"821","G0959","1"
"822","G0960","2"
"823","G0961","1"
"824","G0963","2"
"825","G0964","1"
"826","G0965","2"
"827","G0966","1"
"828","G0967","1"
"829","G0968","2"
"830","G0969","2"
"831","G0970","2"
"832","G0971","1"
"833","G0973","2"
"834","G0974","1"
"835","G0975","1"
"836","G0976","1"
"837","G0977","2"
"838","G0978","1"
"839","G0979","1"
"840","G0980","2"
"841","G0981","2"
"842","G0982","1"
"843","G0983","2"
"844","G0984","1"
"845","G0985","1"
"846","G0986","1"
"847","G0987","2"
"848","G0988","2"
"849","G0989","1"
"850","G0990","1"
"851","G0991","2"
"852","G0992","2"
"853","G0993","2"
"854","G0994","2"
"855","G0995","2"
"856","G0996","1"
"857","G0997","2"
"858","G0998","1"
"859","G0999","2"
"860","G1001","2"
"861","G1004","2"
"862","G1005","1"
"863","G1006","1"
"864","G1007","2"
"865","G1008","2"
"866","G1010","1"
"867","G1011","1"
"868","G1012","2"
"869","G1013","1"
"870","G1014","2"
"871","G1017","1"
"872","G1018","2"
"873","G1019","1"
"874","G1021","1"
"875","G1022","2"
"876","G1026","2"
"877","G1027","2"
"878","G1028","1"
"879","G1029","2"
"880","G1030","1"
"881","G1032","2"
"882","G1033","2"
"883","G1034","2"
"884","G1035","2"
"885","G1038","1"
"886","G1039","1"
"887","G1040","1"
"888","G1041","2"
"889","G1042","1"
"890","G1043","2"
"891","G1045","2"
"892","G1046","2"
"893","G1047","1"
"894","G1048","2"
"895","G1049","2"
"896","G1050","2"
"897","G1051","2"
"898","G1052","2"
"899","G1053","1"
"900","G1054","1"
"901","G1055","2"
"902","G1056","2"
"903","G1057","2"
"904","G1058","2"
"905","G1059","2"
"906","G1060","1"
"907","G1061","1"
"908","G1062","1"
"909","G1063","1"
"910","G1064","2"
"911","G1065","2"
"912","G1066","2"
"913","G1067","2"
"914","G1068","1"
"915","G1069","1"
"916","G1070","2"
"917","G1071","2"
"918","G1072","2"
"919","G1073","2"
"920","G1075","2"
"921","G1079","2"
"922","G1080","1"
"923","G1081","1"
"924","G1082","1"
"925","G1083","2"
"926","G1084","1"
"927","G1085","1"
"928","G1086","1"
"929","G1087","2"
"930","G1088","2"
"931","G1089","1"
"932","G1090","1"
"933","G1091","1"
"934","G1092","1"
"935","G1093","2"
"936","G1095","2"
"937","G1096","1"
"938","G1097","1"
"939","G1098","2"
"940","G1099","2"
"941","G1100","1"
"942","G1101","1"
"943","G1104","1"
"944","G1106","2"
"945","G1107","2"
"946","G1108","2"
"947","G1110","2"
"948","G1111","2"
"949","G1112","2"
"950","G1113","2"
"951","G1114","1"
"952","G1115","1"
"953","G1116","2"
"954","G1118","1"
"955","G1119","1"
"956","G1120","2"
"957","G1123","1"
"958","G1125","2"
"959","G1134","2"
"960","G1136","1"
"961","G1137","2"
"962","G1138","2"
"963","G1139","2"
"964","G1140","1"
"965","G1141","1"
"966","G1142","1"
"967","G1143","1"
"968","G1147","2"
"969","G1152","2"
"970","G1156","2"
"971","G1157","2"
"972","G1158","1"
"973","G1159","1"
"974","G1160","1"
"975","G1162","2"
"976","G1163","2"
"977","G1165","2"
"978","G1166","2"
"979","G1167","2"
"980","G1168","1"
"981","G1169","2"
"982","G1170","2"
"983","G1171","2"
"984","G1172","2"
"985","G1173","2"
"986","G1174","2"
"987","G1175","1"
"988","G1176","2"
"989","G1177","1"
"990","G1178","1"
"991","G1179","2"
"992","G1180","2"
"993","G1181","1"
"994","G1182","1"
"995","G1184","2"
"996","G1185","2"
"997","G1186","2"
"998","G1187","1"
"999","G1188","1"
"1000","G1189","2"
"1001","G1190","2"
"1002","G1191","2"
"1003","G1192","2"
"1004","G1193","1"
"1005","G1194","2"
"1006","G1195","1"
"1007","G1196","2"
"1008","G1197","1"
"1009","G1198","2"
"1010","G1199","1"
"1011","G1200","2"
"1012","G1201","2"
"1013","G1202","1"
"1014","G1203","2"
"1015","G1204","2"
"1016","G1205","1"
"1017","G1206","2"
"1018","G1207","1"
"1019","G1209","2"
"1020","G1210","2"
"1021","G1212","2"
"1022","G1213","2"
"1023","G1214","2"
"1024","G1215","2"
"1025","G1216","1"
"1026","G1217","2"
"1027","G1218","2"
"1028","G1219","1"
"1029","G1220","1"
"1030","G1221","2"
"1031","G1222","2"
"1032","G1223","1"
"1033","G1226","1"
"1034","G1227","2"
"1035","G1228","2"
"1036","G1230","2"
"1037","G1231","2"
"1038","G1234","2"
"1039","G1235","1"
"1040","G1236","2"
"1041","G1237","1"
"1042","G1238","1"
"1043","G1239","2"
"1044","G1240","1"
"1045","G1241","1"
"1046","G1242","1"
"1047","G1243","1"
"1048","G1244","2"
"1049","G1245","2"
"1050","G1246","1"
"1051","G1247","2"
"1052","G1248","1"
"1053","G1249","1"
"1054","G1250","1"
"1055","G1251","2"
"1056","G1252","2"
"1057","G1253","2"
"1058","G1254","2"
"1059","G1255","2"
"1060","G1256","2"
"1061","G1257","2"
"1062","G1258","2"
"1063","G1259","2"
"1064","G1260","1"
"1065","G1261","2"
"1066","G1262","2"
"1067","G1263","2"
"1068","G1264","2"
"1069","G1265","1"
"1070","G1266","2"
"1071","G1267","1"
"1072","G1268","2"
"1073","G1269","1"
"1074","G1270","2"
"1075","G1271","1"
"1076","G1272","2"
"1077","G1273","2"
"1078","G1274","1"
"1079","G1275","1"
"1080","G1276","2"
"1081","G1277","2"
"1082","G1278","1"
"1083","G1279","2"
"1084","G1280","2"
"1085","G1281","2"
"1086","G1282","2"
"1087","G1284","2"
"1088","G1285","1"
"1089","G1286","2"
"1090","G1287","1"
"1091","G1289","2"
"1092","G1290","1"
"1093","G1291","2"
"1094","G1292","1"
"1095","G1293","2"
"1096","G1294","2"
"1097","G1295","1"
"1098","G1297","1"
"1099","G1298","2"
"1100","G1299","2"
"1101","G1300","2"
"1102","G1301","1"
"1103","G1302","1"
"1104","G1303","2"
"1105","G1304","1"
"1106","G1305","1"
"1107","G1306","2"
"1108","G1307","1"
"1109","G1308","2"
"1110","G1309","1"
"1111","G1310","1"
"1112","G1311","1"
"1113","G1312","2"
"1114","G1313","2"
"1115","G1314","1"
"1116","G1315","2"
"1117","G1316","1"
"1118","G1317","2"
"1119","G1318","1"
"1120","G1319","2"
"1121","G1320","1"
"1122","G1321","1"
"1123","G1322","1"
"1124","G1323","2"
"1125","G1324","1"
"1126","G1327","1"
"1127","G1328","2"
"1128","G1329","2"
"1129","G1331","1"
"1130","G1332","1"
"1131","G1333","1"
"1132","G1335","1"
"1133","G1337","2"
"1134","G1338","2"
"1135","G1339","2"
"1136","G1340","2"
"1137","G1341","1"
"1138","G1342","1"
"1139","G1343","1"
"1140","G1344","1"
"1141","G1345","2"
"1142","G1346","2"
"1143","G1347","2"
"1144","G1348","2"
"1145","G1357","1"
"1146","G1358","1"
"1147","G1359","2"
"1148","G1363","2"
"1149","G1364","2"
"1150","G1365","2"
"1151","G1366","2"
"1152","G1367","2"
"1153","G1369","2"
"1154","G1370","2"
"1155","G1371","2"
"1156","G1372","2"
"1157","G1373","2"
"1158","G1374","2"
"1159","G1375","1"
"1160","G1376","1"
"1161","G1379","1"
"1162","G1380","2"
"1163","G1381","1"
"1164","G1382","1"
"1165","G1383","1"
"1166","G1384","1"
"1167","G1389","2"
"1168","G1390","2"
"1169","G1392","2"
"1170","G1393","2"
"1171","G1394","1"
"1172","G1395","2"
"1173","G1396","1"
"1174","G1397","2"
"1175","G1398","2"
"1176","G1399","2"
"1177","G1400","2"
"1178","G1401","2"
"1179","G1402","1"
"1180","G1403","2"
"1181","G1405","2"
"1182","G1406","2"
"1183","G1407","1"
"1184","G1408","2"
"1185","G1410","1"
"1186","G1411","2"
"1187","G1412","1"
"1188","G1413","1"
"1189","G1414","1"
"1190","G1416","2"
"1191","G1417","1"
"1192","G1418","1"
"1193","G1419","1"
"1194","G1420","2"
"1195","G1421","1"
"1196","G1422","1"
"1197","G1424","1"
"1198","G1430","1"
"1199","G1432","2"
"1200","G1434","1"
"1201","G1435","2"
"1202","G1436","1"
"1203","G1437","2"
"1204","G1438","2"
"1205","G1439","2"
"1206","G1440","2"
"1207","G1441","1"
"1208","G1443","2"
"1209","G1444","2"
"1210","G1445","1"
"1211","G1446","2"
"1212","G1447","1"
"1213","G1448","1"
"1214","G1449","1"
"1215","G1450","2"
"1216","G1451","1"
"1217","G1453","1"
"1218","G1454","1"
"1219","G1455","2"
"1220","G1456","2"
"1221","G1457","2"
"1222","G1458","1"
"1223","G1459","1"
"1224","G1461","1"
"1225","G1463","2"
"1226","G1464","2"
"1227","G1465","1"
"1228","G1466","1"
"1229","G1467","2"
"1230","G1468","1"
"1231","G1470","1"
"1232","G1471","2"
"1233","G1473","1"
"1234","G1478","2"
"1235","G1479","2"
"1236","G1480","1"
"1237","G1481","1"
"1238","G1482","1"
"1239","G1483","2"
"1240","G1484","2"
"1241","G1485","1"
"1242","G1486","1"
"1243","G1488","1"
"1244","G1489","1"
"1245","G1490","2"
"1246","G1491","2"
"1247","G1492","2"
"1248","G1494","2"
"1249","G1495","1"
"1250","G1497","1"
"1251","G1498","2"
"1252","G1499","2"
"1253","G1500","1"
"1254","G1501","1"
"1255","G1503","1"
"1256","G1504","1"
"1257","G1505","1"
"1258","G1507","1"
"1259","G1508","2"
"1260","G1515","1"
"1261","G1517","2"
"1262","G1518","2"
"1263","G1519","2"
"1264","G1520","2"
"1265","G1521","2"
"1266","G1522","1"
"1267","G1523","2"
"1268","G1524","1"
"1269","G1525","2"
"1270","G1526","2"
"1271","G1527","2"
"1272","G1528","2"
"1273","G1529","2"
"1274","G1530","2"
"1275","G1531","1"
"1276","G1532","2"
"1277","G1534","1"
"1278","G1535","2"
"1279","G1536","2"
"1280","G1537","2"
"1281","G1538","2"
"1282","G1539","2"
"1283","G1540","2"
"1284","G1541","2"
"1285","G1542","1"
"1286","G1543","2"
"1287","G1545","1"
"1288","G1549","1"
"1289","G1550","1"
"1290","G1551","2"
"1291","G1552","1"
"1292","G1553","1"
"1293","G1555","1"
"1294","G1557","2"
"1295","G1558","2"
"1296","G1559","1"
"1297","G1560","2"
"1298","G1561","2"
"1299","G1562","1"
"1300","G1563","2"
"1301","G1564","1"
"1302","G1565","1"
"1303","G1567","1"
"1304","G1568","2"
"1305","G1569","2"
"1306","G1570","1"
"1307","G1571","1"
"1308","G1572","1"
"1309","G1573","1"
"1310","G1574","2"
"1311","G1577","2"
"1312","G1578","2"
"1313","G1579","2"
"1314","G1580","2"
"1315","G1581","2"
"1316","G1583","1"
"1317","G1584","2"
"1318","G1585","2"
"1319","G1586","1"
"1320","G1587","1"
"1321","G1588","1"
"1322","G1590","2"
"1323","G1591","1"
"1324","G1592","2"
"1325","G1593","2"
"1326","G1594","2"
"1327","G1595","2"
"1328","G1596","2"
"1329","G1597","2"
"1330","G1598","1"
"1331","G1599","2"
"1332","G1600","2"
"1333","G1601","1"
"1334","G1602","1"
"1335","G1603","1"
"1336","G1604","1"
"1337","G1605","1"
"1338","G1606","1"
"1339","G1607","1"
"1340","G1608","1"
"1341","G1609","2"
"1342","G1610","2"
"1343","G1611","1"
"1344","G1612","2"
"1345","G1613","1"
"1346","G1614","2"
"1347","G1615","1"
"1348","G1616","2"
"1349","G1617","1"
"1350","G1618","2"
"1351","G1619","2"
"1352","G1620","2"
"1353","G1621","2"
"1354","G1622","2"
"1355","G1624","2"
"1356","G1625","1"
"1357","G1626","2"
"1358","G1627","2"
"1359","G1628","1"
