EPCI 2024 : Communauté de communes Le Grésivaudan , Communauté d'agglomération du Pays Voironnais , Grenoble-Alpes-Métropole
(Géographie au  01/01/2024).;
communes.depcom;communes.nom_commune;Forêts - superficie totale en hectares (2013-2019);Part de la superficie des forêts dans la superficie IGN (2013-2019) (%);Moyenne du salaire net horaire moyen en 2015 (€);Evolution du nombre de logements totaux de 2015 à 2020 (%);Part du nombre de maisons dans l'ensemble des logements en 2020 (%);Part des personnes de 15 ans ou plus vivant seules en 2020 (%);Part des personnes mariées de 15 ans ou plus en 2020 (%);Part des personnes non mariées de 15 ans ou plus en 2020 (%);Part des personnes vivant en couple de 15 ans ou plus en 2020 (%);Part du nombre de familles avec 1 enfant de moins de 25 ans en 2020 (%);Part du nombre de familles avec 2 enfants de moins de 25 ans en 2020 (%);Part du nombre de familles avec 3 enfants de moins de 25 ans en 2020 (%);Part du nombre de familles avec 4 enfants ou plus de moins de 25 ans en 2020 (%);Part du nombre de familles sans enfants de moins de 25 ans en 2020 (%);;
38185;Grenoble;85.59;4.62;14.79;3.31;3.07;32.75;29.1;70.9;45.12;22.18;18.69;7.19;3.14;48.81;
38187;Le Gua;1923.76;67.14;;1.89;81.23;12.82;49.25;50.75;66.08;17.59;21.86;7.17;0.88;52.49;
38188;Herbeys;241.13;30.41;;4.63;87.53;12.31;53.19;46.81;72.31;18.38;20.49;5.65;1.13;54.36;
38192;Hurtières;223.72;65.41;;6.02;98.86;11.73;43.83;56.17;70.37;15.38;46.15;0;0;38.46;
38200;Jarrie;461.73;34.67;17.45;3.69;67.94;13.45;55.51;44.49;69.25;18.31;26.24;5.05;1.25;49.14;
38206;Laval-en-Belledonne;1612.05;62.71;;-0.18;90.33;11.86;53.45;46.55;73.28;17.98;22.09;6.11;1.51;52.31;
38214;Lumbin;213.67;32.5;19.41;10.56;78.31;12.02;51.23;48.77;67.45;19.46;21.13;8.56;0.69;50.16;
38222;Massieu;457.42;43.38;;2.91;96.16;11.8;52.47;47.53;70.82;12.75;27.11;6.17;0;53.97;
38228;Merlas;764.39;49.27;;1.09;97.85;15.4;41.67;58.33;66.92;10;23.33;6.67;0;60;
38229;Meylan;277.79;21.97;20.02;6.95;23.32;22.5;46.32;53.68;59.34;18.44;20.83;5.97;1.49;53.27;
38235;Miribel-Lanchâtre;671.97;70.44;;7.83;92.39;11.65;51.86;48.14;72.9;26.07;29.25;10.81;0;33.87;
38239;Moirans;235.99;11.79;14.68;2.99;56.41;16.35;46.88;53.12;61.57;22.73;19.09;8.54;2;47.63;
38249;Montbonnot-Saint-Martin;70.51;10.67;20.47;11.52;52.24;15.7;48.5;51.5;65.03;18.33;23.34;5.46;0.6;52.27;
38252;Montchaboud;102.14;51.63;;-1.87;92.48;10.89;66.22;33.78;74.31;13.33;20.95;3.83;0;61.89;
38256;Montferrat;171.68;13.16;;-0.73;74.38;18.95;47.03;52.97;68.54;22.74;21.73;7.21;0.9;47.43;
38258;Mont-Saint-Martin;405.69;79.7;;3.2;96.02;21.45;49.53;50.47;74.76;16.67;16.67;16.67;0;50;
