EPCI 2024 : Communauté de communes Le Grésivaudan , Communauté d'agglomération du Pays Voironnais , Grenoble-Alpes-Métropole
(Géographie au  01/01/2024).;
communes.depcom;communes.nom_commune;Nombre de résidences principales en 2020;Nombre de résidences secondaires et logements occasionnels en 2020;Nombre de logements vacants en 2020;Nombre de logements en 2020;Nombre de résidences principales de type maison en 2020;Part des résidences principales dans les logements totaux en 2020 (%);Part des résidences principales en location dans les résidences principales totales en 2020 (%);;
38002;Les Adrets;433;1482;138;2053;319;21.09;21.71;
38006;Allevard;1833.75252250617;893.380816714153;262.995251661919;2990.12859088224;1019.3360026877;61.33;35.04;
38027;Barraux;780;36;55;871;696;89.55;16.79;
38039;Bernin;1269.09962221266;18.4427298576532;68.6479389145981;1356.19029098491;1085.98945352742;93.58;15.99;
38043;Bilieu;617.503411174487;107.14749661705;30.3247631935047;754.975670985042;556.783002535186;81.79;13.42;
38045;Biviers;991;20;57;1068;889;92.79;12.41;
38057;Bresson;287;8;15;310;227;92.58;17.07;
38059;Brié-et-Angonnes;1028.17454658456;15.3025421924041;49.3081915088577;1092.78528028582;846.935455613989;94.09;10.89;
38061;La Buisse;1333.39539688197;31.2750413233227;75.7818308988205;1440.45226910411;974.564327364735;92.57;21.1;
38062;La Buissière;294;7;18;319;271;92.16;16.33;
38068;Champagnier;530.666940695894;7.61204114258136;22.1441196875094;560.423101525985;456.171621892532;94.69;12.81;
38070;Le Champ-près-Froges;527.754076619963;11.563071297989;31.5356489945153;570.852796912467;417.376527660174;92.45;17.66;
38071;Champ-sur-Drac;1424;19;78;1521;986;93.62;22.19;
38075;Chapareillan;1254;49;90;1393;996;90.02;24.24;
38078;La Chapelle-du-Bard;220.069530855197;46.0199004975124;15.6467661691542;281.736197521863;208.419551314755;78.11;9.44;
38080;Charancieu;302.545360622318;16.3382203512846;13.2748040354187;332.158385009021;298.430437982546;91.08;12.5;
38082;Charavines;833.826658566051;115.10082125334;81.7821624694781;1030.70964228887;636.898922683206;80.9;25.09;
38084;Charnècles;582.149033427061;7.18522447107396;43.1113468264438;632.445604724579;556.553091355348;92.05;10.09;
38100;Le Cheylas;988.074430786641;11.846745087556;37.3628114299842;1037.28398730418;745.370708372086;95.26;24.06;
38105;Chirens;939.891701958365;30.216248238594;73.1038263836952;1043.21177658065;847.117012646231;90.1;13.32;
38111;Claix;3417;61;142;3620;2396;94.39;22.01;
38120;La Combe-de-Lancey;289.611976084526;23.1406727828746;19.1162079510703;331.868856818471;274.463409671725;87.27;11.47;
38126;Corenc;1713.06886092932;22.8308391897477;149.438220151076;1885.33792027014;1250.82946801128;90.86;23.11;
38133;Coublevie;2203.26649797775;47.4071520896165;123.67083153813;2374.34448160549;1686.2916599098;92.79;22.47;
38140;Crolles;3428.55177565732;53.6853691485127;139.3754775971;3621.61262240293;2243.8184184145;94.67;31.42;
38150;Domène;2989.29522700153;33.1631456735515;179.88494168381;3202.34331435889;1194.17164705295;93.35;39.46;
38151;Échirolles;16041.4301518928;216.621815446808;1094.08749692871;17352.1394642683;1627.37093865467;92.45;52.56;
38158;Eybens;4546.57274582677;58.0634827489518;328.432461258858;4933.06868983458;1331.21272365705;92.17;37.2;
38163;Le Haut-Bréda;202.141591668114;854.101449528609;17.2034652156237;1073.44650641235;177.95784267419;18.83;15.76;
38166;La Flachère;182;5;6;193;175;94.3;12.09;
38169;Fontaine;10870.0162958133;114.652228360263;855.715485775696;11840.3840099493;1723.15065949935;91.8;44.33;
38170;Fontanil-Cornillon;1458;20;106;1584;626;92.05;32.58;
38175;Froges;1434.06611364068;9.98751560549313;55.9300873907615;1499.98371663694;906.233423246802;95.61;28.5;
38179;Gières;3593.29544898259;105.183658170914;250.43728135932;3948.91638851282;889.758215914056;90.99;53.41;
38181;Goncelin;1006.50941433241;25.1123897998739;78.3506561756067;1109.97246030789;682.734477934336;90.68;27.3;
38185;Grenoble;83457.1192184167;4808.96333841357;12201.0631262225;100467.145683053;2843.41792391962;83.07;60.86;
38187;Le Gua;742.396092777826;121.197691716162;101.846799761481;965.440584255469;652.832819778631;76.9;15.65;
38188;Herbeys;578.26173833948;12.133971291866;51.5693779904307;641.965087621777;520.431156264684;90.08;14.36;
38192;Hurtières;82;4;2;88;81;93.18;14.63;
38200;Jarrie;1602.60250628082;23.1825396825397;124.984126984127;1750.76917294749;1103.79118552775;91.54;26.88;
38206;Laval-en-Belledonne;407.217014630847;59.6197832766248;38.0333100212951;504.870107928767;364.549892644467;80.66;17.82;
38214;Lumbin;873.384807036931;6.12067039106148;37.7441340782125;917.249611506205;692.830937280356;95.22;16.34;
38222;Massieu;304.812250642221;15.0428571428571;23.0657142857142;342.920822070792;293.661812623099;88.89;9.16;
38228;Merlas;212;42;25;279;208;75.99;12.74;
38229;Meylan;8660.38952949579;343.912418264728;528.765146360537;9533.06709412106;2088.93892243862;90.85;36.71;
38235;Miribel-Lanchâtre;170.876396934466;14.0752688172043;3.01612903225806;187.967794783928;156.578684824618;90.91;21.98;
38239;Moirans;3166.71027270082;46.3056072282753;390.577730534149;3603.59361046324;1840.42981515723;87.88;33.2;
38249;Montbonnot-Saint-Martin;2331.41504776763;29.0775993883791;139.371941896024;2499.86458905203;1229.66467552434;93.26;30.37;
38252;Montchaboud;143.848573291721;2.06802721088434;5.17006802721085;151.086668529816;135.586522630792;95.21;6.38;
38256;Montferrat;833.84246248549;99.7975830815707;64.5156092648538;998.155654831915;609.315536849957;83.54;31.61;
